[HEADER]
VERSION=S255W01
ITEMNAME=SPL
COMMENT=
[DATA]
MODEL=PP
MEMO=B02_Sidewall_study
DATAFILE=C:\FOS4CHDAT\VDDS\35mm Sidewall\PP\20220817-001.M10
BEGIN_RECORD=1
END_RECORD=10
FREQ     ,SPL_1       ,SPL_2       ,SPL_3       ,SPL_4       ,SPL_5       ,SPL_6       ,SPL_7       ,SPL_8       ,SPL_9       ,SPL_10      
    61.31,   88.78,   88.75,   88.46,   88.79,   88.60,   88.85,   88.66,   88.32,   88.69,   88.70
    62.19,   88.91,   88.74,   88.57,   88.98,   88.81,   89.00,   88.86,   88.44,   88.77,   88.75
    63.10,   89.05,   88.88,   88.61,   89.11,   88.95,   89.02,   88.78,   88.74,   89.22,   88.84
    64.01,   89.14,   89.02,   88.74,   89.35,   89.11,   89.04,   88.71,   89.04,   89.66,   88.94
    64.94,   89.34,   89.22,   88.86,   89.38,   89.20,   89.25,   88.89,   89.08,   89.65,   89.19
    65.88,   89.47,   89.34,   89.07,   89.53,   89.36,   89.46,   89.08,   89.12,   89.64,   89.43
    66.83,   89.61,   89.41,   89.10,   89.75,   89.54,   89.66,   89.26,   89.16,   89.64,   89.67
    67.80,   89.76,   89.60,   89.31,   89.79,   89.70,   89.81,   89.63,   89.23,   89.73,   89.80
    68.79,   89.80,   89.67,   89.37,   89.96,   89.81,   89.97,   89.99,   89.30,   89.82,   89.94
    69.78,   90.02,   89.93,   89.56,   90.09,   89.95,   89.98,   89.95,   89.50,   90.01,   89.93
    70.79,   90.09,   89.95,   89.64,   90.16,   90.06,   89.99,   89.92,   89.70,   90.18,   89.93
    71.82,   90.21,   90.10,   89.70,   90.31,   90.20,   90.00,   89.88,   89.90,   90.36,   89.93
    72.86,   90.36,   90.21,   89.92,   90.36,   90.31,   90.20,   90.11,   89.96,   90.44,   90.23
    73.92,   90.44,   90.37,   89.96,   90.53,   90.42,   90.40,   90.33,   90.01,   90.53,   90.53
    74.99,   90.56,   90.43,   90.07,   90.62,   90.57,   90.60,   90.55,   90.07,   90.58,   90.57
    76.08,   90.65,   90.56,   90.17,   90.73,   90.64,   90.80,   90.77,   90.12,   90.64,   90.61
    77.18,   90.75,   90.65,   90.25,   90.80,   90.86,   90.71,   90.68,   90.26,   90.78,   90.75
    78.30,   90.89,   90.78,   90.35,   90.95,   90.81,   90.61,   90.58,   90.39,   90.92,   90.89
    79.43,   90.95,   90.87,   90.44,   91.05,   91.03,   90.82,   90.70,   90.47,   91.04,   90.99
    80.58,   91.05,   90.95,   90.52,   91.11,   91.08,   91.02,   90.81,   90.55,   91.15,   91.09
    81.75,   91.11,   91.06,   90.62,   91.19,   91.21,   91.11,   91.02,   90.65,   91.19,   91.15
    82.94,   91.25,   91.14,   90.71,   91.30,   91.28,   91.20,   91.23,   90.74,   91.23,   91.21
    84.14,   91.32,   91.22,   90.81,   91.40,   91.35,   91.25,   91.29,   90.81,   91.35,   91.39
    85.36,   91.37,   91.32,   90.83,   91.45,   91.48,   91.30,   91.35,   90.89,   91.47,   91.56
    86.60,   91.47,   91.41,   90.92,   91.55,   91.56,   91.40,   91.33,   90.93,   91.51,   91.56
    87.85,   91.52,   91.47,   91.02,   91.60,   91.63,   91.49,   91.31,   90.98,   91.55,   91.57
    89.13,   91.63,   91.55,   91.07,   91.72,   91.69,   91.58,   91.61,   91.12,   91.65,   91.69
    90.42,   91.68,   91.62,   91.13,   91.76,   91.77,   91.66,   91.63,   91.24,   91.73,   91.76
    91.73,   91.73,   91.68,   91.17,   91.83,   91.84,   91.74,   91.64,   91.36,   91.81,   91.83
    93.06,   91.80,   91.77,   91.28,   91.88,   91.90,   91.79,   91.71,   91.31,   91.89,   91.93
    94.41,   91.89,   91.83,   91.29,   91.96,   91.99,   91.85,   91.78,   91.27,   91.97,   92.03
    95.77,   91.92,   91.90,   91.37,   92.02,   92.05,   91.88,   91.86,   91.34,   92.01,   92.05
    97.16,   91.98,   91.97,   91.42,   92.08,   92.11,   91.91,   91.95,   91.41,   92.05,   92.07
    98.57,   92.03,   92.02,   91.48,   92.12,   92.15,   92.02,   92.05,   91.58,   92.08,   92.16
   100.00,   92.08,   92.07,   91.54,   92.18,   92.22,   92.03,   92.05,   91.61,   92.21,   92.19
   101.45,   92.14,   92.14,   91.58,   92.21,   92.29,   92.05,   92.05,   91.63,   92.34,   92.23
   102.92,   92.18,   92.17,   91.62,   92.30,   92.33,   92.22,   92.17,   91.73,   92.25,   92.41
   104.41,   92.25,   92.21,   91.66,   92.35,   92.38,   92.23,   92.20,   91.76,   92.31,   92.40
   105.93,   92.27,   92.27,   91.72,   92.36,   92.42,   92.25,   92.23,   91.80,   92.37,   92.40
   107.46,   92.31,   92.30,   91.77,   92.45,   92.46,   92.24,   92.33,   91.86,   92.43,   92.50
   109.02,   92.35,   92.35,   91.81,   92.47,   92.53,   92.30,   92.36,   91.90,   92.47,   92.53
   110.60,   92.40,   92.40,   91.82,   92.51,   92.55,   92.36,   92.40,   91.95,   92.50,   92.56
   112.20,   92.44,   92.43,   91.84,   92.55,   92.58,   92.37,   92.35,   92.01,   92.61,   92.61
   113.83,   92.47,   92.46,   91.91,   92.57,   92.64,   92.51,   92.55,   92.01,   92.57,   92.67
   115.48,   92.51,   92.50,   91.94,   92.63,   92.67,   92.49,   92.52,   92.02,   92.62,   92.69
   117.15,   92.52,   92.54,   91.98,   92.66,   92.70,   92.47,   92.48,   92.04,   92.68,   92.70
   118.85,   92.57,   92.58,   92.02,   92.69,   92.73,   92.50,   92.64,   92.08,   92.67,   92.79
   120.57,   92.60,   92.61,   92.03,   92.73,   92.78,   92.60,   92.60,   92.15,   92.81,   92.80
   122.32,   92.62,   92.64,   92.09,   92.77,   92.81,   92.62,   92.62,   92.18,   92.79,   92.82
   124.09,   92.64,   92.68,   92.10,   92.78,   92.83,   92.65,   92.64,   92.21,   92.77,   92.84
   125.89,   92.69,   92.70,   92.13,   92.83,   92.86,   92.68,   92.70,   92.28,   92.81,   92.87
   127.72,   92.71,   92.73,   92.14,   92.84,   92.90,   92.72,   92.79,   92.20,   92.87,   92.95
   129.57,   92.73,   92.75,   92.18,   92.87,   92.91,   92.69,   92.78,   92.25,   92.97,   92.99
   131.45,   92.76,   92.78,   92.21,   92.91,   92.94,   92.72,   92.79,   92.28,   92.94,   93.01
   133.35,   92.77,   92.80,   92.22,   92.92,   92.97,   92.75,   92.79,   92.30,   92.92,   93.03
   135.29,   92.80,   92.83,   92.25,   92.95,   92.99,   92.81,   92.82,   92.33,   92.95,   93.00
   137.25,   92.80,   92.84,   92.26,   92.97,   93.01,   92.84,   92.85,   92.37,   92.99,   93.05
   139.24,   92.82,   92.88,   92.28,   93.00,   93.03,   92.84,   92.88,   92.46,   93.00,   93.08
   141.25,   92.84,   92.89,   92.29,   93.00,   93.04,   92.85,   92.88,   92.44,   93.07,   93.06
   143.30,   92.85,   92.91,   92.31,   93.02,   93.05,   92.88,   93.00,   92.43,   93.07,   93.14
   145.38,   92.89,   92.94,   92.34,   93.04,   93.07,   92.86,   92.92,   92.41,   93.14,   93.19
