S265Swp
IMP=ohm,,MAVE=0
MEMO=20220829_102
DATE=2022/09/06 14:42:04
FREQ , SPL, Imp, Phs, 2nd, 3rd
  311.71, 72.290, 21.907,147.600, 16.280, 12.700
  316.23, 72.300, 21.832,147.200, 15.280, 10.230
  320.81, 72.350, 21.782,147.600, 13.730,  9.880
  325.46, 72.440, 21.732,147.400, 14.340, 10.810
  330.18, 72.480, 21.682,149.000, 13.210,  9.350
  334.97, 72.450, 21.607,149.800, 18.080, 13.140
  339.82, 72.360, 21.557,151.000, 14.920, 11.920
  344.75, 72.270, 21.508,151.400, 15.280, 10.260
  349.74, 72.220, 21.458,151.600, 17.280, 13.000
  354.81, 72.230, 21.409,151.200, 16.040, 10.760
  359.96, 72.230, 21.359,151.800, 15.980, 10.640
  365.17, 72.260, 21.335,152.600, 16.170, 10.390
  370.47, 72.210, 21.286,152.400, 16.550, 11.140
  375.84, 72.210, 21.237,153.600, 14.040,  7.700
  381.29, 72.190, 21.212,153.200, 17.850, 13.840
  386.81, 72.220, 21.188,154.400, 17.800,  7.240
  392.42, 72.260, 21.139,155.200, 15.220, 11.200
  398.11, 72.210, 21.115,156.000, 12.980, 11.410
  403.88, 71.970, 21.115,158.200, 14.650,  7.790
  409.73, 71.580, 21.066,157.400, 18.020,  3.840
  415.67, 71.450, 21.042,155.000, 13.070,  5.240
  421.70, 71.800, 20.970,153.200, 14.800,  9.470
  427.81, 71.960, 20.945,154.000, 15.540,  8.280
  434.01, 71.990, 20.921,155.200, 10.800,  8.470
  440.30, 72.000, 20.897,155.600, 15.460,  8.100
  446.68, 71.940, 20.897,155.800, 14.790, 10.000
  453.16, 71.900, 20.873,155.400, 11.610,  5.720
  459.73, 72.010, 20.825,155.400, 16.740, 10.620
  466.39, 72.110, 20.777,155.800, 10.720,  6.340
  473.15, 72.170, 20.777,156.000, 11.440,  7.530
  480.01, 72.230, 20.753,155.800, 11.980,  8.460
  486.97, 72.280, 20.730,157.400, 14.710, 11.590
  494.03, 72.300, 20.706,157.400, 14.410,  9.320
  501.19, 72.310, 20.682,157.800, 13.580,  9.210
  508.45, 72.370, 20.658,157.800, 11.230,  8.000
  515.82, 72.450, 20.658,159.000, 13.840,  8.330
  523.30, 72.490, 20.634,159.400,  8.260,  7.420
  530.88, 72.500, 20.634,159.600, 11.970, 11.050
  538.58, 72.520, 20.611,161.000,  9.160, 11.600
  546.39, 72.550, 20.587,161.200, 13.010,  9.540
  554.31, 72.520, 20.587,162.200, 12.310,  9.990
  562.34, 72.470, 20.563,163.000, 13.830,  8.890
  570.49, 72.410, 20.540,163.800, 13.060,  7.330
  578.76, 72.370, 20.540,163.400, 14.810, 11.480
  587.15, 72.300, 20.516,164.600, 12.850,  8.340
  595.66, 72.240, 20.516,165.000,  9.220,  9.090
  604.30, 72.180, 20.492,164.800, 11.120,  8.350
  613.06, 72.160, 20.492,164.600,  9.630,  8.620
  621.94, 72.150, 20.469,165.000, 10.950,  4.070
  630.96, 72.150, 20.469,165.000, 11.490,  8.530
  640.10, 72.130, 20.469,165.200,  9.660,  9.190
  649.38, 72.120, 20.445,165.400, 11.070,  6.370
  658.79, 72.090, 20.445,165.200,  9.280,  7.510
  668.34, 72.080, 20.422,165.400, 12.070,  8.110
  678.03, 72.140, 20.422,165.400, 11.500,  7.300
  687.86, 72.210, 20.398,165.200,  8.020,  8.200
  697.83, 72.240, 20.398,165.800,  6.100,  9.440
  707.95, 72.230, 20.398,166.200,  9.740, 10.930
  718.21, 72.240, 20.398,167.400, 12.430,  7.360
  728.62, 72.200, 20.398,167.600,  7.890,  9.060
  739.18, 72.100, 20.375,167.200, 10.930,  8.260
  749.89, 72.060, 20.375,168.000, 10.030,  9.830
  760.76, 72.090, 20.375,166.600,  8.530, 10.470
  771.79, 72.110, 20.351,168.000, 11.350, 10.050
  782.98, 72.140, 20.351,167.000, 11.780,  7.220
  794.33, 72.130, 20.351,168.000, 11.170,  7.620
  805.84, 72.090, 20.328,168.400, 11.240, 10.850
  817.52, 72.050, 20.351,168.200, 10.610,  8.910
  829.37, 72.020, 20.328,167.000,  9.570,  8.100
  841.40, 72.080, 20.328,167.200,  8.940,  7.390
  853.59, 72.210, 20.328,166.600,  8.610, 10.240
  865.96, 72.330, 20.304,167.600,  9.200,  8.520
  878.52, 72.450, 20.328,167.200, 10.120,  7.650
  891.25, 72.530, 20.304,167.600,  9.030,  8.990
  904.17, 72.580, 20.304,169.800,  6.580,  7.050
  917.28, 72.560, 20.304,170.000,  9.880, 10.130
  930.57, 72.460, 20.281,170.800,  6.310,  9.590
  944.06, 72.410, 20.281,171.000,  8.730,  7.360
  957.75, 72.380, 20.281,171.600,  6.090,  8.870
